portal_url	title_raw	text_raw	mentions_disease	about_patient	title_toks	text_toks
medmon.semanticlab.net/doc/4722340648221492447/Jacqueline	❄Jacqueline	@TheRoyalHam @WrightBlan @ProudResister Every year for me. My niece's son has Angelman's Syndrome and is severely autistic. He takes part in the Special Olympics every year. They also have them at our local university here in Kentucky and it's a huge event. 	1	1	❄|Jacqueline	@TheRoyalHam|@WrightBlan|@ProudResister|Every|year|for|me|.|My|niece's|son|has|Angelman's|Syndrome|and|is|severely|autistic|.|He|takes|part|in|the|Special|Olympics|every|year|.|They|also|have|them|at|our|local|university|here|in|Kentucky|and|it's|a|huge|event|.
medmon.semanticlab.net/doc/4722158894447398050/Angelman-UK	Angelman UK	Are you wearing purple today? People with Angelman Syndrome frequently struggle with maintaining control of seizures from an early age. 	1	1	Angelman|UK	Are|you|wearing|purple|today|?|People|with|Angelman|Syndrome|frequently|struggle|with|maintaining|control|of|seizures|from|an|early|age|.
medmon.semanticlab.net/doc/4721898263969116480/Angelman-Biomarkers	Angelman Biomarkers	Update from ASN: Study Finds Differences in Brain Activity Based on Genotype in Angelman Patients https://t.co/sxD0XtQHi8 AngelmanSyndromeNews https://t.co/CljwkgnUvT. 	1	0	Angelman|Biomarkers	Update|from|ASN|:|Study|Finds|Differences|in|Brain|Activity|Based|on|Genotype|in|Angelman|Patients|https://t.co/sxD0XtQHi8|AngelmanSyndromeNews|https://t.co/CljwkgnUvT|.
medmon.semanticlab.net/doc/4721259266689293742/Newstalk	Newstalk	"The mother of a boy with Angelman Syndrome has told @BreakfastNT his diagnosis was discovered thanks to an ""on the ball"" consultant: https://t.co/ViMmJnjJkk https://t.co/VamaswIY6N. "	1	1	Newstalk	"The|mother|of|a|boy|with|Angelman|Syndrome|has|told|@BreakfastNT|his|diagnosis|was|discovered|thanks|to|an|""|on|the|ball|""|consultant|:|https://t.co/ViMmJnjJkk|https://t.co/VamaswIY6N|."
medmon.semanticlab.net/doc/4721116719630158412/Ciara-McDonagh	Ciara McDonagh	"""Without a diagnosis, you think you're the problem"" - The mother of a baby diagnosed with Angelman Syndrome has praised her 'on the ball' consultant: https://t.co/ViMmJnjJkk https://t.co/BxfWLnb24j. "	1	1	Ciara|McDonagh	"""|Without|a|diagnosis|,|you|think|you're|the|problem|""|-|The|mother|of|a|baby|diagnosed|with|Angelman|Syndrome|has|praised|her|'|on|the|ball|'|consultant|:|https://t.co/ViMmJnjJkk|https://t.co/BxfWLnb24j|."
medmon.semanticlab.net/doc/4720971718059834550/Tes-Brouns	Tes Brouns	@Bill_Maxwell_ That has to just about make your heart burst with happiness. My niece has a son with angelman syndrome and he's non verbal. He enjoys participating in activities and looks just as happy. It's difficult and rewarding all at the same time. 	1	1	Tes|Brouns	@Bill_Maxwell_|That|has|to|just|about|make|your|heart|burst|with|happiness|.|My|niece|has|a|son|with|angelman|syndrome|and|he's|non|verbal|.|He|enjoys|participating|in|activities|and|looks|just|as|happy|.|It's|difficult|and|rewarding|all|at|the|same|time|.
medmon.semanticlab.net/doc/4718314457390490674/AngelmanSyndromeFdn	AngelmanSyndromeFdn	The ASF is excited to officially announce the Buenos Aires AS Clinic has joined the ASF AS Clinic Network! Thank yo… https://t.co/nOyVdzWrnS. 	1	0	AngelmanSyndromeFdn	The|ASF|is|excited|to|officially|announce|the|Buenos|Aires|AS|Clinic|has|joined|the|ASF|AS|Clinic|Network|!|Thank|yo|…|https://t.co/nOyVdzWrnS|.
medmon.semanticlab.net/doc/4716997738537235400/MJ	MJ	Update from ASN: Gender Should Be Considered When Treating Angelman, Mouse Study Suggests https://t.co/xEHxaCD59j AngelmanSyndromeNews https://t.co/tFsdwjXKyr. 	1	0	MJ	Update|from|ASN|:|Gender|Should|Be|Considered|When|Treating|Angelman|,|Mouse|Study|Suggests|https://t.co/xEHxaCD59j|AngelmanSyndromeNews|https://t.co/tFsdwjXKyr|.
medmon.semanticlab.net/doc/4716850277189164708/Re:-Angelman-Syndrome-Foundation	Re: Angelman Syndrome Foundation	Where can I find more information on the work being done for those already living with AS in regards to the use of CRISPR. I'd like to read up more on the work being done for those already living with AS. 	1	0	Re|:|Angelman|Syndrome|Foundation	Where|can|I|find|more|information|on|the|work|being|done|for|those|already|living|with|AS|in|regards|to|the|use|of|CRISPR|.|I'd|like|to|read|up|more|on|the|work|being|done|for|those|already|living|with|AS|.
medmon.semanticlab.net/doc/4716850277160506675/Re:-Angelman-Syndrome-Foundation	Re: Angelman Syndrome Foundation	Natasha James --don't wait for a cure to do that! Go out for a short walk, if she's able or a trip in her stroller/wheelchair, if she's not. Help her with sign language or model AAC with her! Angels are surely finding ways to communicate. 	1	1	Re|:|Angelman|Syndrome|Foundation	Natasha|James|-|-|don't|wait|for|a|cure|to|do|that|!|Go|out|for|a|short|walk|,|if|she's|able|or|a|trip|in|her|stroller|/|wheelchair|,|if|she's|not|.|Help|her|with|sign|language|or|model|AAC|with|her|!|Angels|are|surely|finding|ways|to|communicate|.
