portal_url	text_raw	span_1	confidence_1	about_1	span_2	confidence_2	about_2	span_3	confidence_3	about_3	span_4	confidence_4	about_4	span_5	confidence_5	about_5	span_6	confidence_6	about_6	span_7	confidence_7	about_7	span_8	confidence_8	about_8	span_9	confidence_9	about_9	span_10	confidence_10	about_10	span_11	confidence_11	about_11	span_12	confidence_12	about_12	span_13	confidence_13	about_13	span_14	confidence_14	about_14	span_15	confidence_15	about_15	span_16	confidence_16	about_16	span_17	confidence_17	about_17	span_18	confidence_18	about_18	span_19	confidence_19	about_19	span_20	confidence_20	about_20	span_21	confidence_21	about_21	span_22	confidence_22	about_22	span_23	confidence_23	about_23	span_24	confidence_24	about_24	span_25	confidence_25	about_25	span_26	confidence_26	about_26	span_27	confidence_27	about_27			
medmon.semanticlab.net/doc/4618348045203537699/Select-survey--Angelman-Syndrome-|	"Select the survey. Survey of Angelman Syndrome. The purpose of this survey is to get a global vision of the condition. It is totally voluntary although if you complete it you will help us to have real facts of this condition. Check how this condition affects the daily life of people who suffer it. Take the survey. SF36 Survey. Get your health score in less than five minutes and compare it with other conditions. SF36 survey taps 8 health concepts: physical functioning, bodily pain, role limitations due to physical health problems, role limitations due to personal or emotional problems, emotional well-being, social functioning, energy/fatigue, and general health perceptions. Take the SF36 Survey."																																																																																				
medmon.semanticlab.net/doc/4618346912249640165/Do-the-survey-Angelman-Syndrome---Angelman-Syndrome-Map-|	"Survey of Angelman Syndrome. The purpose of this survey is to get a global vision of the condition. It is totally voluntary although if you complete it you will help us to have real facts of this condition. Year Condition Began. 1. Is he/she able to walk? Yes No. 2. Is he/she able to talk? 3. Is he/she on treatment? 4. Has any member of the family stoped working to take care of her/his? 5. Does he/she suffer from any other disease? 6. Signs and Symptoms. Seizures. Abnormal EEG. No linguistic capacity. Significant delay in development. Apparent and permanent state of joy. Hypermotoric. Others. 7. Do you feel better or worse than one year ago? Better Worse Similar. 8. How many months did you take to be diagnosed? Birth date. Select Month January February March April May June July August September October November December Select Year 2019 2018 2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006 2005 2004 2003 2002 2001 2000 1999 1998 1997 1996 1995 1994 1993 1992 1991 1990 1989 1988 1987 1986 1985 1984 1983 1982 1981 1980 1979 1978 1977 1976 1975 1974 1973 1972 1971 1970 1969 1968 1967 1966 1965 1964 1963 1962 1961 1960 1959 1958 1957 1956 1955 1954 1953 1952 1951 1950 1949 1948 1947 1946 1945 1944 1943 1942 1941 1940 1939 1938 1937 1936 1935 1934 1933 1932 1931 1930 1929 1928 1927 1926 1925 1924 1923 1922 1921 1920 1919 01. Female Male. Other comments. Send Survey. By sending the survey, you accept terms of service and privacy policy."																																																																																				
medmon.semanticlab.net/doc/4603601662078930694/You-Don't-Say	"She will get there in her own time. February 8, 2019 by Mary1991 1 Comment. For the last twelve months, I've not kept up with this blog. In my defense, I had been asked to write a weekly column about Jessie's life with Angelman Syndrome . I'm amazed that I was able to complete a year but I'm finding, at this stage, I don't have as much to share as I once did. There was no Facebook when Jess was born and there was no such thing as blogging. There were so many challenges, I wouldn't have run out of things to say so quickly! Not until Jess turned 13 did we learn her true diagnosis. Even so, it was another seven years before I found other Angelman parents and realized there was a community, All that time, I felt as though we were forging the road alone. I followed the lead of her teachers and doctors under the belief they knew what to do because they were the experts. I was just an overwhelmed mother who had no idea how to help other than take Jess to any and all therapy that we thought would break the spell. Long ago I learned about auditory learners, visual learners and people like me who needed to be hands on. Jessie had a smidgen of all the above but not enough of each style for her to make much progress. Couple that with being non-verbal, we had no idea what she was thinking much less understanding. Sure, as a mom, we get pretty good at anticipating needs but this is far from having the ability to read a person's mind. To add to Jessie's complex learning style, there was a complete disconnection with motor planning. Though I could see that she knew what belonged together and what was needed to make something work, she had no ability to get her eyes and hands to work together to make it happen. No one recognized that her depth perception was severely compromised (due to her right eye drifting, it should have been obvious to the trained eye, no pun intended. If you asked her to tap a picture of an apple, she tapped a photo of a puppy instead, it was assumed she hadn't a clue what you were talking about. Being that hindsight is 20/20, she didn't have the eye-hand coordination to touch the apple (but touched every picture around it in a perfect circle, yet again, this should have been an obvious clue) and so ended up touching something that interested her. Oh, how frustrating those “old days” were. However, today is a new day and we have resolved many of the barriers that held her back from learning. Though Jess isn't a typical 20-something, we are witnessing her grow into a unique and lovely young woman. Though this isn't the life I would have chosen, I am grateful for what I've learned because of her. When there isn't a road, you need to make your own. Don't fall into the trap and let others predict your child's fate. For us, we had to break away and go rogue . If something isn't working, it's crazy to keep thinking that doing the same thing over and over is going to change the outcome. I know that has been said so many times before but it is so very true. I wish I could say I'm working daily on her independence, however, my effort is better compared to a roller coaster. There are days we work diligently and then there are days we coast. Twists and turns can be scary, however, more times than not, we find ourselves coasting in at days end with little drama, ready to begin the next day with joyful anticipation. Though Jess has (and will always have) a long way to go, we are pleased with the progress she has made. She has transitioned to where she helps me more than makes me work. No longer does she resent me for asking more of her and the end result is we both have more freedom to pursue what makes us happy. It's odd to say but I feel blessed that Jess has been my teacher. Hopefully, she feels the same way. Sometimes Mama needs rest and sometimes she needs a cocktail but most of all, we moms should not be too hard on ourselves. There's always more to do than time. Some days we are able to cross out items on the todo list, and other days we find ourselves going nowhere fast. As Scarlett O'Hara said, “Tomorrow is another day”. It doesn't matter how long it takes her to get there, she will in her own time. PS- I don't really know where “there” is, I can't see around the bend but as she needs me less, I feel as though we are getting closer to our destination. Filed Under: Now we are talking."	"550,552"	3	patient	"652,659"	1		"903,909"	1	speaker	"1333,1336"	1	speaker	"2469,2481"	2	patient	"2535,2546"	1	patient	"2753,2758"	1		"3785,3789"	1	speaker	"3856,3860"	1	speaker																																																									
medmon.semanticlab.net/doc/4679917507794033330/Genetic-therapy-may-help-children-with-Angelman-syndrome-to-overcome-seizures	"Reviewed by James Ives, MPsych Nov 21 2018. Angelman syndrome is a genetic disease with no cure. Children grow up with severe intellectual disabilities and a range of other problems, arguably the worst of which are epileptic seizures. Now scientists at the UNC School of Medicine have found evidence that genetic therapy may prevent the enhanced seizure susceptibility. Published in the Journal of Clinical Investigation , the research marks the first time scientists were able to reduce seizure susceptibility in mice by activating a dormant copy of the UBE3A gene so it could replace the faulty mutant version. While replacing the faulty gene in juveniles reduced seizures, replacing the faulty gene in adult mice had no effect. The UNC scientists also found evidence that the loss of this gene in Angelman syndrome promotes seizures by impairing the normal activity of inhibitory neurons - cells that normally keep brain circuits from being overstimulated. ""These findings should be very useful in the development and testing of therapies for Angelman syndrome,"" said senior author Benjamin D. Philpot, PhD, Kenan Distinguished Professor in the Department of Cell Biology and Physiology, associate director of the UNC Neuroscience Center, and member of the UNC Autism Research Center. Angelman syndrome, named for the pediatrician who first described it in 1965, afflicts roughly one in 20,000 people, which implies that there are more than 16,000 people with the syndrome in the United States alone. The syndrome is caused by the loss of function of a single gene, UBE3A, but with an odd twist: the mutant or deleted copy of UBE3A is the one inherited from the patient's mother. This maternal copy is crucial in neurons because - for reasons still unknown - the paternal copy of UBE3A is silenced in these cells via a mechanism called genomic imprinting. UBE3A encodes a protein that works in an important cellular waste-disposal and gene-regulating system. Precisely how the absence of this protein in neurons causes Angelman syndrome has never been clear. Even so, scientists have been working on candidate therapies to restore UBE3A activity in neurons, thereby preventing or reversing some or all of the features of the disease. Among these features is epilepsy, which afflicts about 90 percent of Angelman syndrome patients, who typically do not respond well to standard anti-seizure medications. Some aspects of the disease reflect abnormal prenatal and early postnatal development, and may never be reversible with treatments that start years after birth. But epilepsy often doesn't start in Angelman patients until age 2 or 3, suggesting that early life replacement of UBE3A might cure it or prevent it. Philpot and colleagues decided to investigate how early the gene reinstatement needed to take place. They took advantage of an Angelman syndrome mouse model, in which researchers inserted a working copy of the UBE3A gene that would lie dormant in brain cells until scientists turned it on with a chemical switch. Related Stories. The scientists found that switching on UBE3A failed to prevent or reverse the high susceptibility to seizures in adult Angelman mice. However, switching on the gene when the mice were just three weeks old made them as resistant to seizures as ordinary mice. ""Three weeks of age for a mouse corresponds to early childhood for a human, so this suggests that there may be a window of opportunity in childhood for the prevention of Angelman syndrome epilepsy,"" said first author Bin Gu, PhD, a postdoctoral researcher in the Philpot Lab who performed most of the key experiments. Another big question for Angelman syndrome researchers has to do with the neurons affected by the disease. Philpot wondered, to treat the condition successfully, would UBE3A activity need to be restored in all types of neurons or just in some? Philpot's team removed functional UBE3A from excitatory neurons - which trigger activity in connected neurons - and observed that the resulting mice were unaffected. Then they blocked the gene just in inhibitory neurons, whose activity normally quiets and regulates connected neurons, thereby preventing the neural hyperactivity that can trigger seizures. With UBE3A gone from the inhibitory neurons, the mice became even more susceptible to seizures than if UBE3A were absent from all neurons. ""This result implies that if you want to limit epilepsy in Angelman syndrome, you'll need at least to restore the function of UBE3A in inhibitory neurons,"" Philpot said. The researchers gained another clue to the mechanism of Angelman syndrome seizures when they examined the brains of the seizure-prone mice, particularly in an area of the brain known as the hippocampus. They detected an abnormal accumulation of perineuronal nets (PNNs) - structures that surround neurons and block them from making new connections. Abnormal PNN formation has previously been linked to seizures. The scientists found that the abnormal PNN deposition did not occur in the young mice where UBE3A activity had been restored. ""We can now think of these abnormal PNNs as biomarkers for enhanced seizure susceptibility,"" Philpot said. ""We now want to determine if these structures actually cause seizure susceptibility, for example by disrupting the connections that inhibitory neurons normally would make in this brain region."" Philpot and collaborators at UNC, along with other researchers elsewhere, are working on potential Angelman syndrome treatments, including drugs that would activate the previously silenced paternal copy of UBE3A in brain cells. Source:."	"97,105"	1	patient	"648,657"	2	patient	"705,710"	2		"1675,1681"	1		"2451,2459"	patient	3	"2464,2479"	patient	2	"2548,2565"	patient	2	"2627,2632"	patient	3	"2636,2637"	patient	3	"2655,2665"	patient	2	"3159,3164"	patient	2	"3235,3250"	patient	3	"3305,3323"	patient	3	"3351,3366"	patient	2	"3442,3451"	patient	2	"5018,5023"	patient	1																																				
"medmon.semanticlab.net/doc/4668868390318136113/New-data-back-Ovids-Angelman-drug,-say-analysts"	"After reporting mixed results in a midstage trial earlier this year, Ovid Therapeutics has new data for its OV101 drug for rare disease Angelman syndrome that it says are looking a lot stronger. The STARS trial—reported at the American Academy of Child and Adolescent Psychiatry (AACAP) conference this week—is the first industry-sponsored trial in Angelman, a disorder caused by a defect in the UBE3A gene that leads to delayed development, seizures, sleep problems and others medical issues. Ovid reported preliminary results from the STARS trial in August, with improvements across a range of measures that helped it achieve a significant improvement in Clinical Global Impression of Improvement (CGI-I) scale from a single 15mg dose of OV101 given in the evening, and backed its safety and tolerability. There was some debate about the earlier readout, with analysts at Ladenburg Thalman saying it “suggested minimal benefits in sleep, motor, behavior or quality of life.” However, they now suggest the new data at AACAP has firmed up OV101’s clinical profile with “additional secondary endpoints with statistically significant or trends toward improvements.”. OV101 is a selective extra-synaptic GABA A receptor agonist vying to become the first-ever approved therapy for Angelman, which occurs in around 1 in 15,000 live births and is often misdiagnosed as cerebral palsy or autism. CEO Jeremy Levin said on a conference call that with the STARS data in hand, the plan now is to start an open-label extension study before the end of the year for all OV101-treated patients, using the 15mg once daily dose. “We believe the data…will support an end-of-phase 2 meeting with the FDA by the end of the year,” he continued, and that should clarify the clinical requirements for a regulatory filing. Ladenburg Thalman think the likelihood is a second phase 2 trial in 2019 with a phase 3 study the following year, but suggest that Ovid may be able to proceed with a single phase 2/3 trial “as there is nothing approved or adequately used today to treat the problematic behaviors of Angelman.”. Other companies targeting Angelman include GeneTx Biotherapeutics , a startup launched by the Foundation for Angelman Syndrome Therapeutics (FAST) earlier this year that is focusing on the developing of antisense drugs for the disorder, and Marinus Pharma, which has a drug called ganaxolone in preclinical development for Angelman that has a similar mechanism of action to OV101. Other players include Sage Therapeutics and Zynerba Pharma."	"247,252"	2		"257,267"	2																																																																															
medmon.semanticlab.net/doc/4647532511052081697/Angelman-Syndrome-Find-a-Buddy	"August 27, 2018 by Mary1991 4 Comments. For most of Jessie's years, we didn't know any Angel parents. We were on our own to reinvent the wheel, navigating seizures, and sleep disturbances. Even though we heard a few words and phrases, upon learning of her Angleman diagnosis (when she was 13), I let go of the hope that Jess would talk in a traditional way. I wish I had someone that I could have shared with that understood. Earlier this week, I met with the only local Angel mom I know. We met by chance at a dance. Ashley was a chaperone. As soon as she saw Jessie, she suspected she was an Angel because she has one too. She made it her mission to meet the rest of the family before Jess left that night. Even though our children are different ages and stages, this hasn't prevented us from appreciating each other's perspective. Unfortunately, we don't get to visit that often, but when we do, we talk about anything and everything and of course, all things Angel. We all don't have the luxury of being with an Angelman mom/dad but we all can find a cyber one. I don't know if this will work but with two other Angel parents, we have just started a new Facebook group, Angelman Syndrome-Find a Buddy. (for lack of better name). This is not another chat group. The sole purpose is to find another parent to connect to on a more personal level so we can reduce that feeling of being isolated. Every day, I read a parent announce they just were given a diagnosis. Others feel isolated because their needs are different from families who have typical children. Even when we were part of playgroups, I ended up being with Jess while the other mom's got to talk because Jess needed my support. Eventually, the divide grows wider as their children meet milestones at a much faster rate. For other parents with older children, their friends become empty nesters. Going out as couples became awkward because they don't want your third wheel. Believe me, I understand wanting a child-free zone and the luxury of being with just adults, however, we rarely get to do that. My new motto is, “If you are an Angelman parent and don't know another Angelman parent, then get one”! Why specifically an Angelman parent? Because firsthand experience means you don't have to explain yourself. Sharing common interests is integral to any friendship and this opportunity could be the beginning of beautiful friendships! Some of you may already have your Angel-supports in place but maybe you could be a mentor to a young family? Maybe you or someone you know was recently diagnosed and want to invite them to this group? Or maybe you want to be part of the “3 am” club because your kid has you up all night. This venue would allow you to find others “awake” at the same time. There might be a better forum to use than FB in that it could be set up in a more efficient way, however, this is what we have to work with. To begin, Join, Angelman Syndrome-Find a Buddy. Then add a brief post about yourself and what kind of support you would like to find. Maybe you are searching for one parent or maybe you want to form a group (of three or four), or maybe you want to find someone where you check in once a week to see how they are doing? (You might find that you are FB friends already so this would be an opportunity to get to know them better).These are just suggestions. It's up to you to decide how to proceed. I don't know if this will work but I do know that Angelman parents are a very loving and supportive community. I've been blessed to make connections with families from around the world. Having friends in multiple time zones has been awesome! This week, we will be tagging our friends to join this group. I'm afraid we may duplicate requests, if we do, please don't be annoyed. Since this is the launch, there should be a period of time for this group to build before connecting. I'd like to suggest that Buddy finding begins on September 15, 2018. Either this will be a flash of brilliance or an epic fail. Even if only a few connections are made, I'll consider this a success, however, it could be so much more. This will only work if you are willing to play. I hope you do! Filed Under: Now we are talking."	"477,480"	1		"725,733"	2	patient	"1025,1028"	1	speaker	"1029,1032"	1	speaker	"1122,1129"	1		"1301,1307"	1		"1416,1422"	1		"1552,1560"	2	patient	"1643,1648"	1		"1737,1745"	2	patient	"1795,1802"	1		"1808,1822"	2	patient	"1973,1978"	2		"2023,2029"	2		"2107,2113"	1		"2146,2152"	1		"2198,2204"	1		"2664,2667"	2	patient	"3065,3071"	1		"93,100"	1		"289,291"	3	patient																					
medmon.semanticlab.net/doc/4642110840359238659/She-found-her-voice-by-Chance	"August 11, 2018 by Mary1991 7 Comments. The front and back of Jessie's new business card. Over the last three years, we have shared over 500 business cards and now we have run out. These cards were given to people who either needed information or were so curious, they'd ask questions I didn't find appropriate answering. Besides, I don't believe we should talk about someone in front of them, it's rude. With Jess's permission, the cards allow us to share her story. We needed an updated look for her card. By happenchance, this photo was taken outside of the shop, Chance on Main . Their mission statement is:. a for-purpose boutique and gallery. because sometimes all you need. is a CHANCE”. If it weren't for the founder of Chance, we might not have had a story to tell. It was late one fall when I expressed my frustrations with her that Jessie did not have a reliable way to communicate. In turn, she mentioned this to her son's therapist and their response was, “I know someone who is a whiz with computers and AAC ”, and this is how we found the app Speak for Yourself . It made perfect sense for Jess to chose a photo of her holding Lucy the bull by the horns. In essence, this is what she did in order to find her voice. If you want something bad enough, you need to take matters into your own hands. The first words Jess said to me this morning were, “I love you”. Sure, she could have expressed this in a non-verbal way, but there is nothing more powerful than hearing it said. I hope that when we share her card, not only do people take the time to learn about Angelman Syndrome but they realize how vital it is to be able to choose your own words. Go to Angelman Syndrome News on Fridays for upcoming columns if you'd like to read more. Filed Under: AAC , Now we are talking."																																																																																				
"medmon.semanticlab.net/doc/4640181778223030676/Ovid-posts-results-from-midstage-rare-disease-test,-plots-registrational-path"	"Ovid Therapeutics has posted a batch of topline data out of its midstage STARS trial in Angelman syndrome as it seeks out a path to approval. The study was focused on safety and tolerability, and saw OV101 hit its primary endpoint in several of these markers, although it failed to beat out placebo in a series of subsets. The phase 2 trial was set up with 88 patients randomized across three groups: a once-daily or twice-daily dose of OV101 or placebo. Your Daily Newsletter — Free. Enjoying this story? Subscribe to FierceBiotech! Biopharma is a fast-growing world where big ideas come along every day. Our subscribers rely on FierceBiotech as their must-read source for the latest news, analysis and data in the world of biotech and pharma R&D. To read on the go, sign up today to get biotech news and updates delivered right to your inbox! The biotech says that at 12 weeks of treatment, OV101 “showed a statistically significant improvement compared to placebo in the physician-rated clinical global impressions of improvement (CGI-I).”. Specifically, it showed a statistically significant difference (p = 0.0206; Fisher’s exact test) between the combined OV101 treatment arms and placebo. “This reflects an improvement in two-thirds of the combined treatment groups versus one-third in placebo,” the startup explained. This is a measure commonly used in a test geared to help doctors capture a series of clinical symptoms, and Ovid says that CGI-I was “ranked first in the topline statistical plan.”. RELATED:. Overall, Ovid says that the study met its primary endpoint of safety and tolerability given that the adverse events (AEs) with OV101 treatment were similar to placebo. The most common AEs reported in the trial were vomiting, somnolence, irritability, aggression, and pyrexia. In addition, “subsequent analyses in the hierarchy were conducted on a prespecified subset of scales across the domains of behavior, sleep and gait.”. But the company says that the analysis of these prespecified subsets “did not show a statistically significant difference from placebo,” adding that full data analyses on these domains “are ongoing,” and they’ll get back to us on what they find in the future. The drug is seeking to treat Angelman syndrome, a rare genetic disorder that can cause delayed development, seizures, sleep problems and other medical issues. OV101 is a selective extrasynaptic GABAA receptor agonist in development that can mediate tonic inhibition, a key underlying pathophysiological mechanism of Angelman syndrome. This medication, from Lundbeck and Merck, was put on the scrap heap nearly a decade ago, after the pair failed to get it through the clinic for insomnia. Ovid is hoping the new test and insights will reveal the hidden value of this once-failed drug. On the back of the STARS data, Ovid now says it “intends to discuss these data with regulatory authorities to determine the next steps for a registrational pathway” and plots to start an open-label extension study (named ELARA) in the fourth quarter. “We are excited by these data, as this is the first demonstration of positive clinical effect on overall symptomology in Angelman syndrome,” said Jeremy Levin, D.Phil., MB, BChir, chairman and chief executive of Ovid. “In collaboration with the Angelman community, we designed a robust study to evaluate prespecified endpoints that may pave the way for a registrational pathway for a disorder that has no previously approved medicines. These data are a tribute to the patients and their families and we thank them.”. “These initial data from the STARS study are encouraging, particularly the statistically significant improvement in overall symptoms that we see in the CGI-I scale in the once-daily dosing group,” said Ron Thibert, D.O., MsPH, chairperson of the STARS clinical trial steering committee, director of the Angelman syndrome clinic at Mass General Hospital for Children, and an assistant professor at Harvard Medical School. “Angelman syndrome is a complex disorder and the CGI-I scale captures the totality of global neurological deficits and helps to define the impact of medicines on the individual and their families. “The data reported today are the first data in Angelman syndrome to show a compound specifically targeting the syndrome having a clinical effect. Ovid is the first company to have conducted a double-blind, placebo-controlled study in Angelman syndrome, providing important clinical and scientific data. Based on these data, I believe OV101 has the potential to offer a clinically meaningful benefit specific to people living with Angelman syndrome.”. Investors weren't feeling great about the mixed data, sending the biotech's shares down 30% in early trading."																																																																																				
medmon.semanticlab.net/doc/4602543128140867774/Role-of-UBE3A-enzyme-in-Angelman-syndrome	"April 20, 2018. The group, led by the Ikerbasque professor Ugo Mayor of the UPV/EHU's Department of Biochemistry and Molecular Biology, has just published in the journal Human Molecular Genetics an explanation of the mechanisms affected by Angelman syndrome. Thanks to an innovative, experimental design and the state-of-the-art infrastructure of the UPV/EHU's General Proteomics Research Service, they have managed to identify the changes in the proteins altered by the UBE3A enzyme, the malfunctioning of which in the brain leads to the disease. According to these new results, UBE3A is responsible for regulating the function of proteasome, a kind of shredding machine that regulates the balance of the other proteins in the cells. In this indirect way, UBE3A is responsible for the stability of a huge number of processes that take place within the cells. When there is a fault in the UBE3A, these processes do not take place correctly. This explains the complexity of the syndrome that emerges when the UBE3A enzyme fails to perform its function properly. The genetic origin and symptoms of this disease have been studied previously, but until now no explanation has been forthcoming as to how a single gene was capable of creating so many alternations in brain function. Angelman syndrome is a disease affecting one in every 15,000 newborn babies. It causes complex problems in the intellectual development of children, epilepsy, as well as difficulties in communicating, lack of motor coordination and problems in balance and movement accompanied by extremely few hours of sleep. All this is caused by the failure in the brain of a single gene: UBE3A. Source:."	"1338,1352"	3	patient																																																																																	
medmon.semanticlab.net/doc/4600801362658725557/Genomic-Imprinting	"By Shelley Farrar Stoakes, MSc, BSc. In diploid organisms, two copies of a gene are inherited − one from the mother and one from the father. For most genes, both alleles are expressed, but in a small subset, only one of the copies are expressed whilst the other is inactive. This is termed genomic imprinting. Credit: Yurchanka Siarhei/Shutterstock.com. Genomic imprinting means that specific genes inherited from the mother or father are active, whilst the gene inherited from the other parent is inactive. This preferential expression of one allele is important for normal development. Genomic imprinting is found in all mammals and investigation of this process has been aided by the presence of many conserved imprinted genes between mice and humans. Genomic imprinting and development. The role of genomic imprinting in development was first noted in uniparental mouse embryo studies. Embryos derived from two paternal pronuclei were found to lack embryonic tissues whilst the embryos derived from two maternal pronuclei developed without extraembryonic tissues. This indicated that imprinted genes with preferential expression of one inherited allele (either paternal or maternal), were central to normal development. The paternally expressed IGF2 gene was one of the first imprinted genes to be identified as a positive regulator of fetal growth. Interestingly, it’s expression is controlled by the maternally imprinted IGF2R gene. Imprinted genes also have an important role in neural development and function. Genomic imprinting provides unique gene expression in the brain that is separate from patterns seen in other tissues. One example is the UBE3A gene where both copies are expressed in most tissues but only the maternal copy is expressed in brain tissue where it promotes neural plasticity. Some imprinted genes are associated with specific neuronal subtypes that assist in the establishing diverse cell types within the brain tissue. Imprinting mechanisms. Genomic imprinting occurs through the marking of a gene during gamete production via different epigenetic mechanisms. Two major mechanisms by which genes are imprinted are DNA methylation and histone modifications. During DNA methylation, a methyl group is added to a segment of DNA and is employed in the identification of a maternal or paternal allele. The epigenetic process alters gene expression through imprinting without altering the DNA sequence. Histone modifications alter the chromatin structure leading to changes in gene expression. There are numerous modifications that can be applied to the histone for imprinting including histone acetylation, which forms an accessible chromatin formation, and histone deacetylation leading to compressed chromatin. After fertilization, specific imprints from each parent must be maintained during genome reprogramming. The final stage of genomic imprinting involves the erasure of the somatic pattern of biparental imprints. Genomic imprinting and disease inheritance. Some diseases occur as a result of deletions or mutations in imprinted genes. Prader-Willi syndrome and Angelman syndrome were the first reported diseases associated with genomic imprinting in humans. The diseases have distinct symptoms though they are both caused by a deletion in the same region of chromosome 15. This is because the parental origin of the affected chromosome differs between the two syndromes. Prader-Willi syndrome is caused by the loss of paternally inherited genes whilst Angelman syndrome is caused by the loss of maternally inherited genes. The loss of paternally imprinted genes can occur because of unipaternal disomy, in this case where two copies of the maternal chromosome are inherited. In contrast, Angelman syndrome occurs through the loss of the single maternally expressed gene UBE3A within brain tissue. Genomic imprinting is also associated with the formation of certain cancers. A type of embryonic kidney cancer called Wilm’s tumor is associated with the loss of imprinting for two specific genes. In normal embryonic kidney cells, the imprinted maternal copy of H19 is expressed that has a growth suppression function along with the imprinted paternal copy of IGF2, a known growth factor. In Wilm’s tumor cells the imprinting of H19 and IGF2 is lost, meaning that the lack of H19 function causes an overexpression of IGF2 resulting in tumorigenesis. Reviewed by P Surat, PhD. Sources:. * Plasschaert, R.N. & Bartolomei, M.S. 2014. Genomic imprinting in development, growth, behavior and stem cells, Development , 141, pp. 1805-1813. * MacDonald, W.A. 2012. Epigenetic Mechanisms of Genomic Imprinting: Common Themes in the Regulation of Imprinted Regions in Mammals, Plants, and Insects, Genetics Research International , 1, e585024. * Hanna, C.W. & Kelsey, G. 2017. Genomic imprinting beyond DNA methylation: a role for maternal histones, Genome Biology , 18, e177. * Lobo, I. 2008. Genomic Imprinting and Patterns of Disease Inheritance, Nature Education , 1:66. Further Reading. More... Last Updated: Apr 12, 2018."	"1228,1238"	1		"1340,1345"	3	patient	"1406,1416"	1		"1728,1736"	1		"2301,2309"	1		"2313,2321"	1		"3331,3339"	1		"3456,3466"	1		"3533,3543"	1		"3573,3583"	1		"3678,3686"	1		"3782,3792"	1		"3922,3931"	3	patient	"4042,4051"	3	patient	"4080,4088"	1		"4178,4186"	1		"109,115"	1		"133,139"	1		"418,424"	1		"428,434"	1		"488,494"	1		"874,880"	3	patient	"890,897"	3	patient	"953,962"	3	patient	"982,989"	3	patient	"1165,1173"	1		"1177,1185"	1				
