portal_url	text_raw	span_1	confidence_1	about_1	span_2	confidence_2	about_2	span_3	confidence_3	about_3	span_4	confidence_4	about_4	span_5	confidence_5	about_5	span_6	confidence_6	about_6	span_7	confidence_7	about_7	span_8	confidence_8	about_8	span_9	confidence_9	about_9	span_10	confidence_10	about_10	span_11	confidence_11	about_11	span_12	confidence_12	about_12	span_13	confidence_13	about_13	span_14	confidence_14	about_14	span_15	confidence_15	about_15	span_16	confidence_16	about_16	span_17	confidence_17	about_17	span_18	confidence_18	about_18	span_19	confidence_19	about_19	span_20	confidence_20	about_20	span_21	confidence_21	about_21	span_22	confidence_22	about_22	span_23	confidence_23	about_23	span_24	confidence_24	about_24	span_25	confidence_25	about_25	span_26	confidence_26	about_26	span_27	confidence_27	about_27	span_28	confidence_28	about_28	span_29	confidence_29	about_29
medmon.semanticlab.net/doc/4723914980323149653/Richie-Reel	Asked my son to compose some #relaxation music to help me chill out with my #Parkinsons and his grandad with his #Alzheimer #dementia. This is the first track from an album he is putting together #chilled #mindfulness. 	"9,12"	1		"96,104"	1	patient																																																																																	
medmon.semanticlab.net/doc/4723898560496743509/A.J	A retired doctor has invented these infrared light helmets which claim to reduce the symptoms of Parkinson's disease. 																																																																																							
medmon.semanticlab.net/doc/4723898299670032914/Parkinson's-Facts	How to slow down #Parkinson's progress and reduce the severity of symptoms https://t.co/lN4s0dazp9 #ParkinsonDiet.																																																																																							
medmon.semanticlab.net/doc/4723896718361879548/libertynews	RT @DanielJDrucker: Sniffing out #Parkinsons Disease via sebum spectrometry @TheEconomist https://t.co/2JNlM9FeCl.																																																																																							
medmon.semanticlab.net/doc/4723896294720504574/Mental-Floss	A Simple Skin Swab Could Soon Identify People at Risk for Parkinson's — https://t.co/E1ZUaIr3QW https://t.co/P458NF8WcR.																																																																																							
medmon.semanticlab.net/doc/4723818925542117064/Ingentium-Parkinson's-Disease	"Researchers find link between herbicides, Parkinson's https://t.co/XNzHc5IJtc https://t.co/6RbYF15BlP."																																																																																							
medmon.semanticlab.net/doc/4722898543404526098/Shalom-Maria	"Inbox: @RepJoseSerrano says he has been diagnosed with Parkinson's disease, and won't be seeking re-election in 2020. Serrano says he's proud to continue leading the House Commerce, Justice, and Science Appropriations Subcommittee until then."																																																																																							
medmon.semanticlab.net/doc/4722259545377925922/Parkinson's-UK	Researchers need both people with and without #Parkinsons to take part in research - from home questionnaires to trialling new treatments. You can make a difference by taking part: https://t.co/JrgjqKFgUo #CharityTuesday https://t.co/KNQ4x4ZNTN.																																																																																							
medmon.semanticlab.net/doc/4722217764642395453/OutThinkParkinsons	Progressive Reduction in Symptoms of Parkinson's Disease https://t.co/2H1iBvDgvs #parkinsons.																																																																																							
medmon.semanticlab.net/doc/4721927752871261252/Espace-beaux-arts	"José E. Serrano says he has Parkinson's, won't run again https://t.co/L4wkDt3XiS."																																																																																							
medmon.semanticlab.net/doc/4721900721840069053/Nick-Reisman	@SeanMcElwee (he's retiring after being diagnosed with Parkinson's). 																																																																																							
medmon.semanticlab.net/doc/4721898263976075833/Eli	RT @SenhorRaposa: Serrano reveals that he has Parkinson's. 																																																																																							
medmon.semanticlab.net/doc/4721458339057693028/Gary-Sharpe	REBOUNDING (MINI-TRAMPOLINING) & PARKINSON'S DISEASE: https://t.co/J8xG4eEMZe #blogger.																																																																																							
medmon.semanticlab.net/doc/4721411642042693037/Tom123	RT @MichaelJFoxOrg: A study published this summer sheds new light on how #diabetes affects #Parkinsons disease risk. 																																																																																							
medmon.semanticlab.net/doc/4721401813221259567/Chancesmom	RT @HeyTammyBruce: Parkinson's gene therapy may reduce medicine required for treatment https://t.co/9tCBiS7dFL.																																																																																							
