portal_url	title_raw	text_raw	mentions_disease	about_patient	title_toks	text_toks
medmon.semanticlab.net/doc/4724067372610949490/K-I-N-G-K-O-F-I	K I N G K O F I	My new single #AngelMan is available now on @spotify, @applemusic, @TIDAL & @Deezer. Stream it here: https://t.co/hikbBlDBls https://t.co/jjZqZ5NxlG. 	0	0	K|I|N|G|K|O|F|I	My|new|single|#AngelMan|is|available|now|on|@spotify|,|@applemusic|,|@TIDAL|&|@Deezer|.|Stream|it|here|:|https://t.co/hikbBlDBls|https://t.co/jjZqZ5NxlG|.
medmon.semanticlab.net/doc/4723999457405374783/Angelman-UK	Angelman UK	Happy Mother's Day to all our amazing mums. 	0	0	Angelman|UK	Happy|Mother's|Day|to|all|our|amazing|mums|.
medmon.semanticlab.net/doc/4723915880296101632/K12-Academics	K12 Academics	Social Impairments of Angelman Syndrome. 	1	0	K12|Academics	Social|Impairments|of|Angelman|Syndrome|.
medmon.semanticlab.net/doc/4723915657953041316/K12-Academics	K12 Academics	Treatment in Angelman Syndrome. 	0	0	K12|Academics	Treatment|in|Angelman|Syndrome|.
medmon.semanticlab.net/doc/4723681991614256066/AngelmanSyndromeFdn	AngelmanSyndromeFdn	RT @OvidRx: We're having a great time at our third #RareDisease Day at @LibertySciCtr speaking with patients, families and caregivers. 	0	0	AngelmanSyndromeFdn	RT|@OvidRx|:|We're|having|a|great|time|at|our|third|#RareDisease|Day|at|@LibertySciCtr|speaking|with|patients|,|families|and|caregivers|.
medmon.semanticlab.net/doc/4723909937426029093/Ade-Montepagano	Ade Montepagano	By registering and FUNDRAISING for the 2019 ASF #WalkforAngelman, you can help support the Angelman Syndrome Clinics which provide individuals with AS the comprehensive medical care they need throughout their lifetime. Get started at https://t.co/mjSuQA2ulb. 	0	0	Ade|Montepagano	By|registering|and|FUNDRAISING|for|the|2019|ASF|#WalkforAngelman|,|you|can|help|support|the|Angelman|Syndrome|Clinics|which|provide|individuals|with|AS|the|comprehensive|medical|care|they|need|throughout|their|lifetime|.|Get|started|at|https://t.co/mjSuQA2ulb|.
medmon.semanticlab.net/doc/4723901261978609202/Lax-Goalie-Coach	Lax Goalie Coach	By registering and FUNDRAISING for the 2019 ASF #WalkforAngelman, you can help support the Angelman Syndrome Clinics which provide individuals with AS the comprehensive medical care they need throughout their lifetime. Get started at https://t.co/mjSuQA2ulb. 	0	0	Lax|Goalie|Coach	By|registering|and|FUNDRAISING|for|the|2019|ASF|#WalkforAngelman|,|you|can|help|support|the|Angelman|Syndrome|Clinics|which|provide|individuals|with|AS|the|comprehensive|medical|care|they|need|throughout|their|lifetime|.|Get|started|at|https://t.co/mjSuQA2ulb|.
medmon.semanticlab.net/doc/4723573121552181847/Do-Good-Points	Do Good Points	We love your cause! Keep up the great work. 	0	0	Do|Good|Points	We|love|your|cause|!|Keep|up|the|great|work|.
medmon.semanticlab.net/doc/4723900376522524002/SCRM-Radio	SCRM Radio	Contributors' Corner @Dr_Moxmo - Now Playing: Happy Puppet Syndrome. 	0	0	SCRM|Radio	Contributors|'|Corner|@Dr_Moxmo|-|Now|Playing|:|Happy|Puppet|Syndrome|.
medmon.semanticlab.net/doc/4723342835330792360/AngelmanSyndromeFdn	AngelmanSyndromeFdn	By registering and FUNDRAISING for the 2019 ASF #WalkforAngelman, you can help support the Angelman Syndrome Clinic… https://t.co/hGrMsHQgYG. 	0	0	AngelmanSyndromeFdn	By|registering|and|FUNDRAISING|for|the|2019|ASF|#WalkforAngelman|,|you|can|help|support|the|Angelman|Syndrome|Clinic|…|https://t.co/hGrMsHQgYG|.
