portal_url	title_raw	text_raw	mentions_disease	about_patient
medmon.semanticlab.net/doc/4724094428231748387/Joan-Heilmann	Joan Heilmann	My favored image of all times! Photo by Norman Parkinson. Kenya, 1951. 	0	0
medmon.semanticlab.net/doc/4724089651632942487/sandy-jock	sandy jock	Imagine if our MPs cared half as much about the treatment of Ben Parkinson as they care that their bosom buddy Dominic Grieve encountered a tiny glitch in his political career. 	0	0
medmon.semanticlab.net/doc/4724040303274905699/Cammy-Campbell	Cammy Campbell	Ben Parkinson has finally won his fight for a long-term care package, more than 12 years after he suffered catastrophic injuries. He is the most wounded British soldier from the war in Afghanistan. 	0	0
medmon.semanticlab.net/doc/4724008475973467823/samuel	samuel	Ben Parkinson has finally won his fight for a long-term care package, more than 12 years after he suffered catastrophic injuries. He is the most wounded British soldier from the war in Afghanistan. 	0	0
medmon.semanticlab.net/doc/4723990238216403711/Gary-Sharpe	Gary Sharpe	Progressive Reduction in Symptoms of Parkinson's Disease https://t.co/IS7n1M13US #parkinsons. 	1	0
medmon.semanticlab.net/doc/4723937036442540814/Wednesday1962	Wednesday1962	Ben Parkinson has finally won his fight for a long-term care package, more than 12 years after he suffered catastrophic injuries. He is the most wounded British soldier from the war in Afghanistan. 	0	0
medmon.semanticlab.net/doc/4723919070016412016/DLS	DLS	Ben Parkinson has finally won his fight for a long-term care package, more than 12 years after he suffered catastrophic injuries. He is the most wounded British soldier from the war in Afghanistan. 	0	0
medmon.semanticlab.net/doc/4723916568315940963/Jim-Kerr	Jim Kerr	Ben Parkinson has finally won his fight for a long-term care package, more than 12 years after he suffered catastrophic injuries. He is the most wounded British soldier from the war in Afghanistan. 	0	0
medmon.semanticlab.net/doc/4723914980323149653/Richie-Reel	Richie Reel	Asked my son to compose some #relaxation music to help me chill out with my #Parkinsons and his grandad with his #Alzheimer #dementia. This is the first track from an album he is putting together #chilled #mindfulness. 	1	1
medmon.semanticlab.net/doc/4723911535407295213/Jack-Dearden	Jack Dearden	More from Phil Parkinson “ We needed a response to the last time we played, and I feel we've done that today, it's a great win for us, performance level was right up there”. 	0	0
medmon.semanticlab.net/doc/4723911525631966681/Gary-Sharpe	Gary Sharpe	RT @DrGarySharpe: A Complete Explanation For Parkinson's Disease... and How to Fix It https://t.co/W7lNSBPCQr #wellness. 	1	0
medmon.semanticlab.net/doc/4723911076925732057/caroline-mcevoy	caroline mcevoy	It's less than 2 weeks until World Parkinson's Day & we couldn't be more excited about what's coming up 💙🎉 #Parkinsons #WorldParkinsonsDay @ParkinsonsUK https://t.co/hPSYQrSgPK. 	0	0
medmon.semanticlab.net/doc/4723910622305353415/SecBiggleswadeutd	SecBiggleswadeutd	Final substitution for @Biggleswadeutd Dave Parkinson makes way for George Brinkman. 	0	0
medmon.semanticlab.net/doc/4723900382652281918/Bill	Bill	🇬🇧🇬🇧🇬🇧 👏👏👏 T. ibutes. x-Paratrooper Ben Parkinson on the day he officially leaves the Army. Ben lost. legs & suffered a broken spine & pelvis after his vehicle hit a mine in Afghanistan. The expl. left him with brain damage. https://. 	0	0
medmon.semanticlab.net/doc/4723900350526888549/CD	CD	@Microfinanceire @wexfordcoco Looking forward to welcoming Deirdre Parkinson @Microfinanceire to #Gorey Library #WorkMatters startup meetup on Tuesday 2 April at 7pm to advise startup businesses about their loans. 	0	0
medmon.semanticlab.net/doc/4723900131612658876/Dearbhla-N-Laighin	Dearbhla Ní Laighin	@Microfinanceire @wexfordcoco Looking forward to welcoming Deirdre Parkinson @Microfinanceire to #Gorey Library #WorkMatters startup meetup on Tuesday 2 April at 7pm to advise startup businesses about their loans. 	0	0
medmon.semanticlab.net/doc/4723899667844012602/Irish-Writers-Centre	Irish Writers Centre	Having a blast at Takin' the Mic tonight with Karl Parkinson and Caelainn Hogan @CaelainnH https://t.co/L2jr4y5HSG. 	0	0
medmon.semanticlab.net/doc/4723898560496743509/A.J	A.J	A retired doctor has invented these infrared light helmets which claim to reduce the symptoms of Parkinson's disease. 	1	0
medmon.semanticlab.net/doc/4723898536836914386/LadyAnniSpice-RESIGNNOWTHERESAMAY-NODEALWTO	LadyAnniSpice #RESIGN#NOW#THERESA#MAY# NODEAL#WTO	(1) Ben Parkinson lost both legs & suffered a broken pelvis & spine plus brain damage. Looks like he now has the care package he needs & deserves. Yet the state does not see fit to formally recognise his & many other seriously wounded troops' sacrifice by the award of a medal. 	0	0
medmon.semanticlab.net/doc/4723898299670032914/Parkinson's-Facts	Parkinson's Facts	How to slow down #Parkinson's progress and reduce the severity of symptoms https://t.co/lN4s0dazp9 #ParkinsonDiet. 	1	0
