portal_url	text_raw	span_1	confidence_1	about_1	span_2	confidence_2	about_2	span_3	confidence_3	about_3			
medmon.semanticlab.net/doc/4722340648221492447/Jacqueline	@TheRoyalHam @WrightBlan @ProudResister Every year for me. My niece's son has Angelman's Syndrome and is severely autistic. He takes part in the Special Olympics every year. They also have them at our local university here in Kentucky and it's a huge event. 	"70,73"	1	patient									
medmon.semanticlab.net/doc/4722158894447398050/Angelman-UK	Are you wearing purple today? People with Angelman Syndrome frequently struggle with maintaining control of seizures from an early age. 	"125,134"	2	patient									
medmon.semanticlab.net/doc/4721898263969116480/Angelman-Biomarkers	Update from ASN: Study Finds Differences in Brain Activity Based on Genotype in Angelman Patients https://t.co/sxD0XtQHi8 AngelmanSyndromeNews https://t.co/CljwkgnUvT.												
medmon.semanticlab.net/doc/4721259266689293742/Newstalk	"The mother of a boy with Angelman Syndrome has told @BreakfastNT his diagnosis was discovered thanks to an ""on the ball"" consultant: https://t.co/ViMmJnjJkk https://t.co/VamaswIY6N."	"4,10"	1		"16,19"	1	patient						
medmon.semanticlab.net/doc/4721116719630158412/Ciara-McDonagh	"""Without a diagnosis, you think you're the problem"" - The mother of a baby diagnosed with Angelman Syndrome has praised her 'on the ball' consultant: https://t.co/ViMmJnjJkk https://t.co/BxfWLnb24j."	"58,64"	1		"70,74"	2	patient						
medmon.semanticlab.net/doc/4720971718059834550/Tes-Brouns	@Bill_Maxwell_ That has to just about make your heart burst with happiness. My niece has a son with angelman syndrome and he's non verbal. He enjoys participating in activities and looks just as happy. It's difficult and rewarding all at the same time. 	"91,94"	1	patient									
medmon.semanticlab.net/doc/4718314457390490674/AngelmanSyndromeFdn	The ASF is excited to officially announce the Buenos Aires AS Clinic has joined the ASF AS Clinic Network! Thank yo… https://t.co/nOyVdzWrnS. 												
medmon.semanticlab.net/doc/4716997738537235400/MJ	"Update from ASN: Gender Should Be Considered When Treating Angelman, Mouse Study Suggests https://t.co/xEHxaCD59j AngelmanSyndromeNews https://t.co/tFsdwjXKyr."												
medmon.semanticlab.net/doc/4716850277189164708/Re:-Angelman-Syndrome-Foundation	Where can I find more information on the work being done for those already living with AS in regards to the use of CRISPR. I'd like to read up more on the work being done for those already living with AS. 												
medmon.semanticlab.net/doc/4716850277160506675/Re:-Angelman-Syndrome-Foundation	"Natasha James --don't wait for a cure to do that! Go out for a short walk, if she's able or a trip in her stroller/wheelchair, if she's not. Help her with sign language or model AAC with her! Angels are surely finding ways to communicate. "												
medmon.semanticlab.net/doc/4715041399224160557/Bioinformatics-News	Electrophysiological Phenotype in Angelman Syndrome Differs Between Genotypes.: Angelman syndrome AS is a severe neurodevelopmental disorder caused by either disruptions of the gene UBE3A or deletion of chromosome 15 at 15q11q13 which encompasses UBE3A… https://t.co/1yWf4H1wY4 https://t.co/RZBnrlu11n.												
medmon.semanticlab.net/doc/4716850300063056446/Re:-Angelman-Syndrome-Ireland	i ❤ someone with angelman syndrome and he is the lightvof my life xxxx. 												
