portal_url	text_raw	span_1	confidence_1	about_1	span_2	confidence_2	about_2	span_3	confidence_3	about_3	span_4	confidence_4	about_4	span_5	confidence_5	about_5	span_6	confidence_6	about_6	span_7	confidence_7	about_7	span_8	confidence_8	about_8	span_9	confidence_9	about_9	span_10	confidence_10	about_10	span_11	confidence_11	about_11	span_12	confidence_12	about_12	span_13	confidence_13	about_13	span_14	confidence_14	about_14	span_15	confidence_15	about_15	span_16	confidence_16	about_16	span_17	confidence_17	about_17	span_18	confidence_18	about_18	span_19	confidence_19	about_19	span_20	confidence_20	about_20	span_21	confidence_21	about_21	span_22	confidence_22	about_22	span_23	confidence_23	about_23	span_24	confidence_24	about_24	span_25	confidence_25	about_25	span_26	confidence_26	about_26	span_27	confidence_27	about_27	span_28	confidence_28	about_28	span_29	confidence_29	about_29
medmon.semanticlab.net/doc/4681613994989984098/Effect-of-Vitamin-A-Supplementation-on-fatigue-and-depression-in-Multiple-Sclerosis-patients:-A-Double-Blind-Placebo-Controlled-Clinical-Trial.---Multiple-Sclerosis-Discovery-Forum	"Effect of Vitamin A Supplementation on fatigue and depression in Multiple Sclerosis patients: A Double-Blind Placebo-Controlled Clinical Trial. - Multiple Sclerosis Discovery Forum. Bitarafan S, Saboor-Yaraghi A, Sahraian M-A, Soltani D, Nafissi S, Togha M, Moghadam N B, Roostaei T, Mohammadzadeh Honarvar N, Harirchian M-H. Iran J Allergy Asthma Immunol . 2016 Feb; 15(1):13-9. PMID: 26996107."																																																																																							
medmon.semanticlab.net/doc/4723496016533268047/FDA-approves-new-oral-drug-to-treat-relapsing-forms-of-multiple-sclerosis	"Reviewed by Kate Anderton, B.Sc. Mar 29 2019. The U.S. Food and Drug Administration today approved Mavenclad (cladribine) tablets to treat relapsing forms of multiple sclerosis (MS) in adults, to include relapsing-remitting disease and active secondary progressive disease. Mavenclad is not recommended for MS patients with clinically isolated syndrome. Because of its safety profile, the use of Mavenclad is generally recommended for patients who have had an inadequate response to, or are unable to tolerate, an alternate drug indicated for the treatment of MS. ""We are committed to supporting the development of safe and effective treatments for patients with multiple sclerosis,"" said Billy Dunn, M.D., director of the Division of Neurology Products in the FDA's Center for Drug Evaluation and Research. ""The approval of Mavenclad represents an additional option for patients who have tried another treatment without success."" MS is a chronic, inflammatory, autoimmune disease of the central nervous system that disrupts communications between the brain and other parts of the body. Most people experience their first symptoms of MS between the ages of 20 and 40. MS is among the most common causes of neurological disability in young adults and occurs more frequently in women than in men. For most people, MS starts with a relapsing-remitting course, in which episodes of worsening function (relapses) are followed by recovery periods (remissions). These remissions may not be complete and may leave patients with some degree of residual disability. Many, but not all, patients with MS experience some degree of persistent disability that gradually worsens over time. In some patients, disability may progress independent of relapses, a process termed secondary progressive multiple sclerosis (SPMS). In the first few years of this process, many patients continue to experience relapses, a phase of the disease described as active SPMS. Active SPMS is one of the relapsing forms of MS, and drugs approved for the treatment of relapsing forms of MS can be used to treat active SPMS. The efficacy of Mavenclad was shown in a clinical trial in 1,326 patients with relapsing forms of MS who had least one relapse in the previous 12 months. Mavenclad significantly decreased the number of relapses experienced by these patients compared to placebo. Mavenclad also reduced the progression of disability compared to placebo. Mavenclad must be dispensed with a patient Medication Guide that describes important information about the drug's uses and risks. Mavenclad has a Boxed Warning for an increased risk of malignancy and fetal harm. Mavenclad is not to be used in patients with current malignancy. In patients with prior malignancy or with increased risk of malignancy, health care professionals should evaluate the benefits and risks of the use of Mavenclad on an individual patient basis. Health care professionals should follow standard cancer screening guidelines in patients treated with Mavenclad. The drug should not be used in pregnant women and in women and men of reproductive potential who do not plan to use effective contraception during treatment and for six months after the course of therapy because of the potential for fetal harm. Mavenclad should be stopped if the patient becomes pregnant. Other warnings include the risk of decreased lymphocyte (white blood cell) counts; lymphocyte counts should be monitored before, during and after treatment. Mavenclad may increase the risk of infections; health care professionals should screen patients for infections and treatment with Mavenclad should be delayed if necessary. Mavenclad may cause hematologic toxicity and bone marrow suppression so health care professionals should measure a patient's complete blood counts before, during and after therapy. The drug has been associated with graft-versus-host-disease following blood transfusions with non-irradiated blood. Mavenclad may cause liver injury and treatment should be interrupted or discontinued, as appropriate, if clinically significant liver injury is suspected. The most common adverse reactions reported by patients receiving Mavenclad in the clinical trials include upper respiratory tract infections, headache and decreased lymphocyte counts. The FDA granted approval of Mavenclad to EMD Serono, Inc. Source:."	"1149,1166"	2	patient	"1233,1245"	2	patient																																																																																	
medmon.semanticlab.net/doc/4723292921028156705/Good-News-for-Those-Not-Fond-of-Time-in-an-MRI-Tube	"For people living with relapsing-remitting multiple sclerosis, regularly scheduled trips into a magnetic resonance imaging (MRI) tube can range from long and boring to traumatic. Depending on your degree of disease activity, your lesion load, and the standard practice of your MS provider, you can expect MRI appointments every 6 to 24 months. Many if not most of our readers will know of the contrast agent gadolinium. It’s what is injected into our veins about halfway through the scans. Gadolinium shows where “leaks” in the blood-brain barrier are, causing MS lesions. You may have heard or read of gadolinium as “ contrast .” Contrast agents like gadolinium make certain structures or tissues in the body appear different on the MRI images so they are more visible to your physician. For a number of years there has been concern about the heavy metal deposits gadolinium may leave in our brains . A new study, published in March 2019 in the journal Radiology , suggested that the use of gadolinium enhancement may not be needed to get images that are good enough to gauge MS progression. Side Benefits of No Gadolinium in the MRI. Although health concerns may have been a factor in calling for the study , I think the side benefits of this change will be of great importance to people with MS as well. First, of course, possible complications of repeated gadolinium exposure would be reduced. But, as I stated, most of us will know gadolinium from the injection halfway through the scan. The time in the noisy tube could be significantly reduced. Less time in the machine would mean that follow-up scans should be less costly. The psychological toll these scans take on those of us who find the cramped scanners claustrophobic cannot be underestimated either. I know some people with MS who require mild sedation to make it through these procedures. The Findings Only Apply to 3T MRI Scanners. I noted in the study that 3T machines were used in the research. If your clinic uses a 1.5T machine (the number references strength of the magnets used), the research wouldn’t apply. With 1.5T still the standard technology for MRI scanners, I know it took me some time to find a 3T machine where I live (and it’ll be a five-hour drive the next time I need a scan). So not everyone will be able to benefit from this new finding. As always, have a detailed conversation with your MS healthcare team (and your care partners) when it comes to deciding if gadolinium contrast can be skipped in your next scan. The jury is still out as to what harm long-term exposure to gadolinium might cause. So weighing risk to benefit will be an important discussion. Wishing you and your family the best of health. My book, Chef Interrupted , is available on . Follow me on the and on , and read more on ."																																																																																							
medmon.semanticlab.net/doc/4722991264227761131/Canadian-Experience-with-Fingolimod:-Adherence-to-Treatment-and-Monitoring.---Multiple-Sclerosis-Discovery-Forum	"Canadian Experience with Fingolimod: Adherence to Treatment and Monitoring. - Multiple Sclerosis Discovery Forum. Lapierre Y, O'Connor P, Devonshire V, Freedman MS, Kremenchutzky M, Yeung M, Schecter R. Can J Neurol Sci . 2016 Jan 25:1-6. PMID: 26890887."																																																																																							
medmon.semanticlab.net/doc/4722991217733084846/Evaluation-of-the-Innermost-Retinal-Layers-and-Visual-Evoked-Potentials-in-Patients-with-Multiple-Sclerosis.---Multiple-Sclerosis-Discovery-Forum	"Evaluation of the Innermost Retinal Layers and Visual Evoked Potentials in Patients with Multiple Sclerosis. - Multiple Sclerosis Discovery Forum. Esen E, Sizmaz S, Balal M, Yar K, Demirkiran M, Unal I, Demircan N. Curr Eye Res . 2016 Feb 16:1-6. PMID: 26882356."																																																																																							
medmon.semanticlab.net/doc/4722991259554887681/Medical-Tourism-for-CCSVI-Procedures-in-People-with-Multiple-Sclerosis:-An-Observational-Study.---Multiple-Sclerosis-Discovery-Forum	"Medical Tourism for CCSVI Procedures in People with Multiple Sclerosis: An Observational Study. - Multiple Sclerosis Discovery Forum. Metz LM, Greenfield J, Marrie R A, Jette N, Blevins G, Svenson LW, Alikhani K, Wall W, Dhaliwal R, Suchowersky O. Can J Neurol Sci . 2016 Feb 4:1-8. PMID: 26891024."																																																																																							
medmon.semanticlab.net/doc/4722984375606583249/MS-Ireland--::-Helping-Everyone-Affected-by-Multiple-Sclerosis	"MS Ireland  ::. Helping Everyone Affected by Multiple Sclerosis. GALWAY: Physiotherapy Classes for People with MS. Date/Time: 10 April 2019 - 10:30 to 11:30. Event Type: Living with MS Programme. Organiser: Western Regional Office. Region: West. Family Centre,. Ballinasloe, Co. Brief Description Of Event:. Physiotherapy Class for people living with MS in Ballinasloe and the surrounding areas. (ongoing event every Wednesday). Contact Details:. Email yourself a reminder about this event Return to Events calendar."																																																																																							
medmon.semanticlab.net/doc/4722984411083637947/MS-Ireland--::-Helping-Everyone-Affected-by-Multiple-Sclerosis	"MS Ireland  ::. Helping Everyone Affected by Multiple Sclerosis. Mother's Day. Thursday March 28 2019 08:51 AM. This week Teresa McShane shares her mixed emotions about being a mum with MS and how she really feels about Mother's Day 2019. I never really imagined being a Mother. As a girl growing up, I can't remember ever having had that thought in my mind. It wasn't on my radar. It wasn't until I was diagnosed with MS in 1994 that I had to ask the question, ‘What about kids?' Thankfully, my fears were allayed when I was told there was no reason why I couldn't or shouldn't have children. So, fast forward 25 years and here I am with two wonderful boys, 15 and 13 and Mother's Day 2019 is just around the corner. Shelves with gift suggestions are neatly styled and stocked with goodies for ‘that special day'. Grand displays of floral-designed cards suggest I am a ‘Wonderful Mum', ‘A Mum in a Million' or, could I actually be ‘THE World's Best Mum EVER'? Well, on the one side, I'm not really ‘a card person'. And I am hugely cynical about the massive marketing and emotional blackmail involved in all these ‘significant' dates in the calendar. But once a year, it is good for families to take stock of all the things that their Mums do. And Mums do do a lot. Having said that, I don't think Mums keep a record, a tally of their daily chores because that's what we signed up to. That was the deal. Occasionally I acknowledge the fact that having MS has made my job as a mum more challenging. Mums with MS still have to do everything that other Mum's without MS do. We still have to do shopping, washing, cooking, and homework, tend to wounds, allay fears and wipe away tears. Be up to speed on training schedules, matches and play dates. Keep a house. Not to mention know where the other football sock or gum shield or left shoe is! It's exhausting on top of exhaustion. Thinking about it now, no wonder I have brain fog! And as a Mum with MS I can't help but judge myself for my failings. I get frustrated at the fact that my kids sometimes miss out on things because I can't do them or take them so there can be a huge reliance on partners, friends and family to fill in the gaps. I am lucky to have that support around me. My kids have grown up with these limitations but I hope they know that as their Mum I have always tried to do my best for them. So, on that note, I will accept the flowery card for the afternoons I tried to play ball in the garden with my son and fell over in the flowerbeds. I will accept the breakfast in bed for the nights I tended to my sick child when the fatigue was like a corn mill bearing down on top of me. And I will gladly sit back and read the Sunday paper for the mornings I stared up the staircase with a laundry basket in my hand feeling like I was about to attempt Everest. But I also acknowledge the greatest gift of all for me on Sunday 31st March is that I am blessed to be a Mum. Author: Teresa McShane."	"65,71"	1		"177,180"	1	patient	"220,226"	1		"271,277"	1		"284,299"	2	patient	"474,478"	2		"584,592"	2		"659,661"	3		"666,668"	3		"881,884"	1		"890,893"	1		"950,953"	1		"1235,1239"	1		"1248,1252"	1		"1298,1302"	1		"1476,1479"	1	patient	"1498,1502"	1	patient	"1550,1555"	1		"1937,1940"	1	patient	"2033,2037"	2		"2235,2239"	2		"2312,2315"	1	patient	"2471,2474"	1		"2578,2583"	2	patient	"2928,2931"	1	patient												
medmon.semanticlab.net/doc/4724107279886228431/What-Is-Secondary-Progressive-Multiple-Sclerosis?	"March 28, 2019. If your doctor says you have secondary progressive multiple sclerosis (SPMS), it means you're in a different stage of your disease. Most folks get it after living for a while with relapsing-remitting MS (RRMS). In SPMS, you may not get any break in your symptoms, unlike RRMS, when you had flare-ups that came and went. But your doctor can suggest medicine to help manage them. Secondary vs. Relapsing-Remitting MS. About 85% of people with MS start with the relapsing-remitting form. They get attacks of symptoms called relapses, followed by symptom-free periods called remissions. During relapses, your immune system -- your body's defense against germs -- causes inflammation that damages the protective coating around nerve fibers. This disrupts the flow of nerve signals to and from the brain and spinal cord. It leads to symptoms like tiredness, numbness, and weakness. Then the immune system stops attacking. Your symptoms improve or disappear, and you go into remission. Relapses and remissions alternate over time. In SPMS, your symptoms steadily get worse instead of coming and going. You might still have relapses, but they don't happen as often. What Causes SPMS? It's not clear exactly why RRMS changes to SPMS. Some researchers think it happens because of nerve damage that occurred earlier in the disease. Not everyone with the relapsing-remitting form of the disease will get SPMS. Doctors don't know for sure who will and who won't, and how quickly it will happen. You're more likely to change to SPMS if:. When Do People Change to SPMS? A small number of people start out with SPMS. They may have had RRMS first, but it wasn't diagnosed or their symptoms were too mild to notice. Before disease-modifying drugs were available, half of people with RRMS changed to SPMS within 10 years. New treatments have altered the course of MS. Today these drugs can slow MS and delay the move towards SPMS, although doctors don't know how much they delay it. What to Expect. Article Provided by: #MSViewsandNews. :::::::."																																																																																							
medmon.semanticlab.net/doc/4681614075765910594/Increase-in-mRNA-Level-of-Orexin1-and-2-Receptors-Following-Induction-of-Experimental-Autoimmune-Encephalomyelitis-in-Mice.---Multiple-Sclerosis-Discovery-Forum	"Increase in mRNA Level of Orexin1 and 2 Receptors Following Induction of Experimental Autoimmune Encephalomyelitis in Mice. - Multiple Sclerosis Discovery Forum. Fatemi I, Shamsizadeh A, Roohbakhsh A, Ayoobi F, Sanati M H, Motevalian M. Iran J Allergy Asthma Immunol . 2016 Feb; 15(1):20-6. PMID: 26996108."																																																																																							
