portal_url	title_raw	text_raw	mentions_disease	about_patient	title_toks	text_toks
medmon.semanticlab.net/doc/4725858998596817975/Diana-Pazos	Diana Pazos	Mr. Hernández released a video of his last conversations with his wife, who had multiple sclerosis, shortly before helping her swallow a deadly substance. He then handed himself in to the police in Madrid.	1	1	Diana|Pazos	Mr|.|Hernández|released|a|video|of|his|last|conversations|with|his|wife|,|who|had|multiple|sclerosis|,|shortly|before|helping|her|swallow|a|deadly|substance|.|He|then|handed|himself|in|to|the|police|in|Madrid|.
medmon.semanticlab.net/doc/4725834911083228079/MS-Society-of-Canada	MS Society of Canada	RT @Coping_with_MS: This exciting study has begun! Top researchers around the World are studying the relationship between cognition and exe….	1	0	MS|Society|of|Canada	RT|@Coping_with_MS|:|This|exciting|study|has|begun|!|Top|researchers|around|the|World|are|studying|the|relationship|between|cognition|and|exe|…|.
medmon.semanticlab.net/doc/4725800013493338557/BennyCharis	BennyCharis	RT @RestoreHearing: Neurological disorders such as multiple sclerosis and strokes can induce #hearingloss as well.	1	0	BennyCharis	RT|@RestoreHearing|:|Neurological|disorders|such|as|multiple|sclerosis|and|strokes|can|induce|#hearingloss|as|well|.
medmon.semanticlab.net/doc/4725773078493851829/Miranieva-Buen	Miranieva Buen	@Shannonemurray @LobsterJo1 That (multiple sclerosis) exists? You sure it's not your imagination? Maybe it's all in your head...	1	0	Miranieva|Buen	@Shannonemurray|@LobsterJo1|That|(|multiple|sclerosis|)|exists|?|You|sure|it's|not|your|imagination|?|Maybe|it's|all|in|your|head|...
medmon.semanticlab.net/doc/4725691876027824261/DaveFromColorado	DaveFromColorado	I have multiple sclerosis. In his left me disabled, to the point that I am in a wheelchair now. I cannot drive a car, I cannot even check my mail. There's a chance I can get help, but I've had so many obstacles step in my way.	1	1	DaveFromColorado	I|have|multiple|sclerosis|.|In|his|left|me|disabled|,|to|the|point|that|I|am|in|a|wheelchair|now|.|I|cannot|drive|a|car|,|I|cannot|even|check|my|mail|.|There's|a|chance|I|can|get|help|,|but|I've|had|so|many|obstacles|step|in|my|way|.
medmon.semanticlab.net/doc/4725591107870132982/Ingentium-Multiple-Sclerosis	Ingentium Multiple Sclerosis	Does the environment influence #multiplesclerosis pathogenesis via UVB light and/or induction of vitamin D? https://t.co/2YHZfpdfo4.	1	0	Ingentium|Multiple|Sclerosis	Does|the|environment|influence|#multiplesclerosis|pathogenesis|via|UVB|light|and|/|or|induction|of|vitamin|D|?|https://t.co/2YHZfpdfo4|.
medmon.semanticlab.net/doc/4725475640264750065/Scleroderma-Framed	Scleroderma Framed	Linda, Model in the Spotlight, 2018. 'I was diagnosed with an aggressive form of systemic sclerosis in 2017, and I had to undergo a stem cell transplant. The photoshoot: I highly valued the “look at us being strong” mentality of @Scleroframed. Full story: https://t.co/j31jxqey55 https://t.co/OXIufz7eGA.	1	1	Scleroderma|Framed	Linda|,|Model|in|the|Spotlight|,|2018|.|'|I|was|diagnosed|with|an|aggressive|form|of|systemic|sclerosis|in|2017|,|and|I|had|to|undergo|a|stem|cell|transplant|.|The|photoshoot|:|I|highly|valued|the|“|look|at|us|being|strong|”|mentality|of|@Scleroframed|.|Full|story|:|https://t.co/j31jxqey55|https://t.co/OXIufz7eGA|.
medmon.semanticlab.net/doc/4725455938997782530/Emily-chan	Emily-chan	@RichardPell4 that was my take on it johns got Multiple sclerosis hes not as good at games as he was but he sucks it up and gits good. our friend is in a wheelchair if he'd be angry af people thinking he needs “help” to game. gaming is his life really because if his mobility dont fuck with it.	1	1	Emily-chan	@RichardPell4|that|was|my|take|on|it|johns|got|Multiple|sclerosis|hes|not|as|good|at|games|as|he|was|but|he|sucks|it|up|and|gits|good|.|our|friend|is|in|a|wheelchair|if|he'd|be|angry|af|people|thinking|he|needs|“|help|”|to|game|.|gaming|is|his|life|really|because|if|his|mobility|dont|fuck|with|it|.
medmon.semanticlab.net/doc/4725365002944212837/Nat-Rev-Neurology	Nat Rev Neurology	Total intake of different minerals and the risk of multiple sclerosis https://t.co/nJG1v1J26z.	1	0	Nat|Rev|Neurology	Total|intake|of|different|minerals|and|the|risk|of|multiple|sclerosis|https://t.co/nJG1v1J26z|.
medmon.semanticlab.net/doc/4725195422514031030/MS-Australia	MS Australia	This was a difficult review to write: a memoir of #multiplesclerosis. I'm interested in the thoughts of anyone who has read Caro Llewellyn's #DivingintoGlass.	1	1	MS|Australia	This|was|a|difficult|review|to|write|:|a|memoir|of|#multiplesclerosis|.|I'm|interested|in|the|thoughts|of|anyone|who|has|read|Caro|Llewellyn's|#DivingintoGlass|.
medmon.semanticlab.net/doc/4725136438861074525/TraxxMobilitySystems	TraxxMobilitySystems	Selma Blair Shares 'Hack' for Applying Makeup With Multiple Sclerosis https://t.co/wFxaxtZOPv #lifehack #makeup #MS #MultipleSclerosis #SelmaBlair.	1	1	TraxxMobilitySystems	Selma|Blair|Shares|'|Hack|'|for|Applying|Makeup|With|Multiple|Sclerosis|https://t.co/wFxaxtZOPv|#lifehack|#makeup|#MS|#MultipleSclerosis|#SelmaBlair|.
medmon.semanticlab.net/doc/4725111860524088651/Sophie-McAuliffe	Sophie McAuliffe	Sophie McAuliffe is fundraising for Multiple Sclerosis Society. Donate to Sophie 's JustGiving page https://t.co/v9yKslQyan McAuliffe2&utm_campaign=pfp-tweet&utm_term=846dDVMYn.	1	0	Sophie|McAuliffe	Sophie|McAuliffe|is|fundraising|for|Multiple|Sclerosis|Society|.|Donate|to|Sophie|'|s|JustGiving|page|https://t.co/v9yKslQyan|McAuliffe|2|&|utm_campaign|=p|fp-tweet|&|utm_term|=|846dDVMYn|.
medmon.semanticlab.net/doc/4725109403854292084/Fifi-------KFB	Fifi       ((KFB))	RT @Fact: Multiple Sclerosis: Early Warning Signs of MS...	1	0	Fifi|(|(|KFB|)|)	RT|@Fact|:|Multiple|Sclerosis|:|Early|Warning|Signs|of|MS|...
medmon.semanticlab.net/doc/4725028300197686252/Mario-Froio	Mario Froio	https://t.co/qNkwXXPJuW The Wide-Ranging Impact of Multiple Sclerosis on My Social Circle– The Wide-Ranging Impact of Multiple Sclerosis on My Social Circle. #homeCare https://t.co/1ncDrsNVEw.	1	1	Mario|Froio	https://t.co/qNkwXXPJuW|The|Wide-Ranging|Impact|of|Multiple|Sclerosis|on|My|Social|Circle|–|The|Wide-Ranging|Impact|of|Multiple|Sclerosis|on|My|Social|Circle|.|#homeCare|https://t.co/1ncDrsNVEw|.
medmon.semanticlab.net/doc/4724969315719614970/Al-Araji-Specialist-MS-Clinic	Al-Araji Specialist MS Clinic	MS Society of Canada Invests in Cannabis and Multiple Sclerosis Research. Very welcome, this is a line of research long time waiting! #MS #MultipleSclerosis #CannabisCommunity.	1	0	Al-Araji|Specialist|MS|Clinic	MS|Society|of|Canada|Invests|in|Cannabis|and|Multiple|Sclerosis|Research|.|Very|welcome|,|this|is|a|line|of|research|long|time|waiting|!|#MS|#MultipleSclerosis|#CannabisCommunity|.
