portal_url	title_raw	text_raw	mentions_disease	about_patient	title_toks	text_toks
medmon.semanticlab.net/doc/4723914980323149653/Richie-Reel	Richie Reel	Asked my son to compose some #relaxation music to help me chill out with my #Parkinsons and his grandad with his #Alzheimer #dementia. This is the first track from an album he is putting together #chilled #mindfulness. 	1	1	Richie|Reel	Asked|my|son|to|compose|some|#relaxation|music|to|help|me|chill|out|with|my|#Parkinsons|and|his|grandad|with|his|#Alzheimer|#dementia|.|This|is|the|first|track|from|an|album|he|is|putting|together|#chilled|#mindfulness|.
medmon.semanticlab.net/doc/4723898560496743509/A.J	A.J	A retired doctor has invented these infrared light helmets which claim to reduce the symptoms of Parkinson's disease. 	1	0	A|.|J	A|retired|doctor|has|invented|these|infrared|light|helmets|which|claim|to|reduce|the|symptoms|of|Parkinson's|disease|.
medmon.semanticlab.net/doc/4723898299670032914/Parkinson's-Facts	Parkinson's Facts	How to slow down #Parkinson's progress and reduce the severity of symptoms https://t.co/lN4s0dazp9 #ParkinsonDiet. 	1	0	Parkinson's|Facts	How|to|slow|down|#Parkinson's|progress|and|reduce|the|severity|of|symptoms|https://t.co/lN4s0dazp9|#ParkinsonDiet|.
medmon.semanticlab.net/doc/4723896718361879548/libertynews	libertynews	RT @DanielJDrucker: Sniffing out #Parkinsons Disease via sebum spectrometry @TheEconomist https://t.co/2JNlM9FeCl. 	1	0	libertynews	RT|@DanielJDrucker|:|Sniffing|out|#Parkinsons|Disease|via|sebum|spectrometry|@TheEconomist|https://t.co/2JNlM9FeCl|.
medmon.semanticlab.net/doc/4723896294720504574/Mental-Floss	Mental Floss	A Simple Skin Swab Could Soon Identify People at Risk for Parkinson's — https://t.co/E1ZUaIr3QW https://t.co/P458NF8WcR. 	1	0	Mental|Floss	A|Simple|Skin|Swab|Could|Soon|Identify|People|at|Risk|for|Parkinson's|—|https://t.co/E1ZUaIr3QW|https://t.co/P458NF8WcR|.
medmon.semanticlab.net/doc/4723818925542117064/Ingentium-Parkinson's-Disease	Ingentium Parkinson's Disease	Researchers find link between herbicides, Parkinson's https://t.co/XNzHc5IJtc https://t.co/6RbYF15BlP. 	1	0	Ingentium|Parkinson's|Disease	Researchers|find|link|between|herbicides|,|Parkinson's|https://t.co/XNzHc5IJtc|https://t.co/6RbYF15BlP|.
medmon.semanticlab.net/doc/4722898543404526098/Shalom-Maria	Shalom Maria	Inbox: @RepJoseSerrano says he has been diagnosed with Parkinson's disease, and won't be seeking re-election in 2020. Serrano says he's proud to continue leading the House Commerce, Justice, and Science Appropriations Subcommittee until then. 	1	1	Shalom|Maria	Inbox|:|@RepJoseSerrano|says|he|has|been|diagnosed|with|Parkinson's|disease|,|and|won't|be|seeking|re-election|in|2020|.|Serrano|says|he's|proud|to|continue|leading|the|House|Commerce|,|Justice|,|and|Science|Appropriations|Subcommittee|until|then|.
medmon.semanticlab.net/doc/4722259545377925922/Parkinson's-UK	Parkinson's UK	Researchers need both people with and without #Parkinsons to take part in research - from home questionnaires to trialling new treatments. You can make a difference by taking part: https://t.co/JrgjqKFgUo #CharityTuesday https://t.co/KNQ4x4ZNTN. 	1	0	Parkinson's|UK	Researchers|need|both|people|with|and|without|#Parkinsons|to|take|part|in|research|-|from|home|questionnaires|to|trialling|new|treatments|.|You|can|make|a|difference|by|taking|part|:|https://t.co/JrgjqKFgUo|#CharityTuesday|https://t.co/KNQ4x4ZNTN|.
medmon.semanticlab.net/doc/4722217764642395453/OutThinkParkinsons	OutThinkParkinsons	Progressive Reduction in Symptoms of Parkinson's Disease https://t.co/2H1iBvDgvs #parkinsons. 	1	0	OutThinkParkinsons	Progressive|Reduction|in|Symptoms|of|Parkinson's|Disease|https://t.co/2H1iBvDgvs|#parkinsons|.
medmon.semanticlab.net/doc/4721927752871261252/Espace-beaux-arts	Espace beaux arts	José E. Serrano says he has Parkinson's, won't run again https://t.co/L4wkDt3XiS. 	1	1	Espace|beaux|arts	José|E|.|Serrano|says|he|has|Parkinson's|,|won't|run|again|https://t.co/L4wkDt3XiS|.
